onset	duration	sample	value
0	0	0	boundary
7.572	0	3786	S180
8.166	0	4083	S180
8.794	0	4397	S180
9.382	0	4691	S180
9.948	0	4974	S180
10.558	0	5279	S180
11.132	0	5566	S180
11.71	0	5855	S180
12.376	0	6188	S180
13.006	0	6503	S180
13.638	0	6819	S180
14.208	0	7104	S180
14.824	0	7412	S180
15.436	0	7718	S180
16.016	0	8008	S180
16.596	0	8298	S 80
17.224	0	8612	S 80
17.852	0	8926	S 80
18.48	0	9240	S 80
19.11	0	9555	S 80
19.738	0	9869	S 80
20.358	0	10179	S 80
20.974	0	10487	S 80
21.592	0	10796	S 80
22.222	0	11111	S 80
22.856	0	11428	S 70
23.478	0	11739	S 80
24.108	0	12054	S 80
24.734	0	12367	S 80
25.352	0	12676	S 80
25.982	0	12991	S 80
26.6	0	13300	S 80
27.228	0	13614	S 80
27.846	0	13923	S 80
28.474	0	14237	S 80
29.102	0	14551	S 70
29.722	0	14861	S 80
30.352	0	15176	S 80
30.982	0	15491	S 80
31.6	0	15800	S 80
32.228	0	16114	S 80
32.848	0	16424	S 80
33.476	0	16738	S 80
34.094	0	17047	S 80
34.722	0	17361	S 70
35.35	0	17675	S 80
35.968	0	17984	S 70
36.596	0	18298	S 80
37.214	0	18607	S 80
37.838	0	18919	S 80
38.466	0	19233	S 80
39.096	0	19548	S 70
39.724	0	19862	S 80
40.352	0	20176	S 80
40.97	0	20485	S 80
41.602	0	20801	S 80
42.22	0	21110	S 80
42.842	0	21421	S 80
43.472	0	21736	S 80
44.1	0	22050	S 70
44.72	0	22360	S 80
45.348	0	22674	S 80
45.978	0	22989	S 80
46.598	0	23299	S 80
47.226	0	23613	S 80
47.852	0	23926	S 80
48.474	0	24237	S 80
49.104	0	24552	S 80
49.74	0	24870	S 80
50.37	0	25185	S 80
50.988	0	25494	S 70
51.616	0	25808	S 80
52.236	0	26118	S 70
52.866	0	26433	S 80
53.484	0	26742	S 80
54.102	0	27051	S 80
54.734	0	27367	S 80
