onset	duration	sample	value
0	0	0	boundary
22.4	0	11200	S  1
25.852	0	12926	S180
26.476	0	13238	S180
27.122	0	13561	S180
27.776	0	13888	S180
28.424	0	14212	S180
29.072	0	14536	S180
29.7	0	14850	S180
30.304	0	15152	S180
30.966	0	15483	S180
31.592	0	15796	S180
32.174	0	16087	S180
32.742	0	16371	S180
33.316	0	16658	S180
33.912	0	16956	S180
34.57	0	17285	S180
35.172	0	17586	S 80
35.72	0	17860	S 80
36.358	0	18179	S 80
37.006	0	18503	S 80
37.586	0	18793	S 80
38.224	0	19112	S 70
38.858	0	19429	S 80
39.422	0	19711	S 80
40.05	0	20025	S 70
40.648	0	20324	S 80
41.238	0	20619	S 80
41.828	0	20914	S 80
42.416	0	21208	S 80
42.996	0	21498	S 80
43.584	0	21792	S 80
44.202	0	22101	S 70
44.86	0	22430	S 80
45.45	0	22725	S 80
46	0	23000	S 80
46.652	0	23326	S 80
47.2	0	23600	S 70
47.848	0	23924	S 80
48.464	0	24232	S 80
49.102	0	24551	S 80
49.732	0	24866	S 80
50.338	0	25169	S 70
50.978	0	25489	S 80
51.612	0	25806	S 70
52.242	0	26121	S 80
52.858	0	26429	S 80
53.488	0	26744	S 80
54.05	0	27025	S 80
54.656	0	27328	S 80
55.278	0	27639	S 80
55.938	0	27969	S 80
56.526	0	28263	S 80
57.148	0	28574	S 80
57.81	0	28905	S 80
58.408	0	29204	S 70
58.992	0	29496	S 80
59.598	0	29799	S 80
60.174	0	30087	S 80
60.788	0	30394	S 80
61.382	0	30691	S 80
61.974	0	30987	S 70
62.626	0	31313	S 80
63.266	0	31633	S 80
63.85	0	31925	S 80
64.444	0	32222	S 80
65.068	0	32534	S 80
65.698	0	32849	S 70
66.356	0	33178	S 80
66.99	0	33495	S 70
67.572	0	33786	S 80
68.184	0	34092	S 70
68.792	0	34396	S 80
69.45	0	34725	S 80
70.086	0	35043	S 70
70.668	0	35334	S 80
71.268	0	35634	S 80
71.9	0	35950	S 70
72.49	0	36245	S 80
73.09	0	36545	S 70
73.666	0	36833	S 80
74.234	0	37117	S 80
74.874	0	37437	S 80
75.502	0	37751	S 80
76.12	0	38060	S 80
76.77	0	38385	S 80
77.408	0	38704	S 80
77.992	0	38996	S 80
78.658	0	39329	S 80
79.272	0	39636	S 80
79.836	0	39918	S 80
80.426	0	40213	S 80
81.056	0	40528	S 70
81.674	0	40837	S 80
82.278	0	41139	S 80
82.902	0	41451	S 80
83.44	0	41720	S 80
84.082	0	42041	S 70
84.718	0	42359	S 80
85.34	0	42670	S 80
85.98	0	42990	S 80
86.588	0	43294	S 70
87.238	0	43619	S 80
87.872	0	43936	S 80
88.434	0	44217	S 80
89.102	0	44551	S 80
89.696	0	44848	S 80
90.286	0	45143	S 70
90.944	0	45472	S 80
91.624	0	45812	S 80
92.188	0	46094	S 80
92.774	0	46387	S 80
93.416	0	46708	S 80
94.034	0	47017	S 80
94.644	0	47322	S 80
95.3	0	47650	S 80
95.94	0	47970	S 70
96.594	0	48297	S 80
97.206	0	48603	S 80
97.896	0	48948	S 80
98.504	0	49252	S 80
99.172	0	49586	S 70
99.78	0	49890	S 80
100.384	0	50192	S 80
101.054	0	50527	S 80
101.676	0	50838	S 80
102.322	0	51161	S 80
102.964	0	51482	S 80
103.588	0	51794	S 80
104.242	0	52121	S 80
104.81	0	52405	S 80
105.432	0	52716	S 80
106.082	0	53041	S 80
106.718	0	53359	S 80
107.328	0	53664	S 80
107.92	0	53960	S 70
108.51	0	54255	S 80
109.136	0	54568	S 80
109.76	0	54880	S 70
110.38	0	55190	S 80
110.96	0	55480	S 70
111.52	0	55760	S 80
112.124	0	56062	S 80
112.734	0	56367	S 80
113.338	0	56669	S 80
113.976	0	56988	S 70
114.558	0	57279	S 80
115.198	0	57599	S 80
115.808	0	57904	S 80
116.446	0	58223	S 80
117.062	0	58531	S 80
117.644	0	58822	S 80
118.254	0	59127	S 80
118.888	0	59444	S 70
119.532	0	59766	S 80
120.16	0	60080	S 80
120.802	0	60401	S 80
121.404	0	60702	S 70
121.994	0	60997	S 80
122.552	0	61276	S 70
123.206	0	61603	S 80
123.862	0	61931	S 80
124.44	0	62220	S 80
125.002	0	62501	S 80
125.588	0	62794	S 80
126.252	0	63126	S 80
126.822	0	63411	S 70
127.436	0	63718	S 80
127.99	0	63995	S 80
128.664	0	64332	S 80
129.276	0	64638	S 80
129.856	0	64928	S 80
130.516	0	65258	S 80
131.13	0	65565	S 80
131.71	0	65855	S 80
132.348	0	66174	S 80
132.966	0	66483	S 80
133.624	0	66812	S 80
134.208	0	67104	S 70
134.806	0	67403	S 80
135.442	0	67721	S 70
136.012	0	68006	S 80
136.588	0	68294	S 80
137.182	0	68591	S 80
137.816	0	68908	S 70
138.4	0	69200	S 80
138.972	0	69486	S 70
139.616	0	69808	S 80
140.186	0	70093	S 80
140.736	0	70368	S 80
141.406	0	70703	S 80
142.08	0	71040	S 70
142.708	0	71354	S 80
143.29	0	71645	S 70
143.926	0	71963	S 80
144.542	0	72271	S 70
145.192	0	72596	S 80
145.762	0	72881	S 70
146.356	0	73178	S 80
146.964	0	73482	S 70
147.556	0	73778	S 80
148.182	0	74091	S 80
148.794	0	74397	S 80
149.402	0	74701	S 70
150.064	0	75032	S 80
150.69	0	75345	S 80
151.33	0	75665	S 80
151.958	0	75979	S 70
152.57	0	76285	S 80
153.19	0	76595	S 80
153.834	0	76917	S 80
154.462	0	77231	S 70
155.122	0	77561	S 80
155.732	0	77866	S 70
156.364	0	78182	S 80
157.004	0	78502	S 80
157.63	0	78815	S 80
158.272	0	79136	S 80
158.828	0	79414	S 80
159.448	0	79724	S 80
160.062	0	80031	S 80
160.644	0	80322	S 70
161.238	0	80619	S 80
161.88	0	80940	S 70
