onset	duration	sample	value
0	0	0	boundary
27.086	0	13543	S  1
30.568	0	15284	S180
31.152	0	15576	S180
31.74	0	15870	S180
32.376	0	16188	S180
32.966	0	16483	S180
33.556	0	16778	S180
34.18	0	17090	S180
34.806	0	17403	S180
35.416	0	17708	S180
36.004	0	18002	S180
36.664	0	18332	S180
37.252	0	18626	S180
37.884	0	18942	S180
38.52	0	19260	S180
39.18	0	19590	S180
39.82	0	19910	S 80
40.41	0	20205	S 70
40.994	0	20497	S 80
41.658	0	20829	S 80
42.298	0	21149	S 80
42.916	0	21458	S 80
43.544	0	21772	S 80
44.186	0	22093	S 80
44.792	0	22396	S 80
45.45	0	22725	S 80
46.042	0	23021	S 80
46.642	0	23321	S 80
47.222	0	23611	S 80
47.83	0	23915	S 80
48.486	0	24243	S 70
49.128	0	24564	S 80
49.794	0	24897	S 80
50.448	0	25224	S 80
51.058	0	25529	S 80
51.694	0	25847	S 80
52.29	0	26145	S 70
52.898	0	26449	S 80
53.48	0	26740	S 80
54.144	0	27072	S 80
54.736	0	27368	S 80
55.336	0	27668	S 80
55.932	0	27966	S 80
56.526	0	28263	S 80
57.134	0	28567	S 80
57.782	0	28891	S 80
58.392	0	29196	S 80
59.046	0	29523	S 70
59.66	0	29830	S 80
60.244	0	30122	S 80
60.826	0	30413	S 80
61.442	0	30721	S 80
62.066	0	31033	S 80
62.646	0	31323	S 80
63.28	0	31640	S 80
63.864	0	31932	S 80
64.472	0	32236	S 80
65.118	0	32559	S 70
65.752	0	32876	S 80
66.378	0	33189	S 80
67.034	0	33517	S 80
67.64	0	33820	S 70
68.286	0	34143	S 80
68.852	0	34426	S 70
69.482	0	34741	S 80
70.084	0	35042	S 70
70.756	0	35378	S 80
71.432	0	35716	S 80
72.026	0	36013	S 70
72.628	0	36314	S 80
73.254	0	36627	S 80
73.908	0	36954	S 80
74.488	0	37244	S 80
75.104	0	37552	S 80
75.672	0	37836	S 70
76.246	0	38123	S 80
76.864	0	38432	S 80
77.416	0	38708	S 80
78.016	0	39008	S 70
78.64	0	39320	S 80
79.296	0	39648	S 80
79.89	0	39945	S 70
80.538	0	40269	S 80
81.142	0	40571	S 70
81.768	0	40884	S 80
82.326	0	41163	S 80
82.926	0	41463	S 80
83.51	0	41755	S 70
84.116	0	42058	S 80
84.74	0	42370	S 80
85.33	0	42665	S 80
85.956	0	42978	S 80
86.598	0	43299	S 80
87.204	0	43602	S 80
87.818	0	43909	S 80
88.452	0	44226	S 70
89.116	0	44558	S 80
89.75	0	44875	S 70
90.412	0	45206	S 80
91.048	0	45524	S 80
91.674	0	45837	S 70
92.328	0	46164	S 80
92.946	0	46473	S 80
93.59	0	46795	S 80
94.138	0	47069	S 70
94.692	0	47346	S 80
95.27	0	47635	S 80
95.888	0	47944	S 80
96.512	0	48256	S 80
97.154	0	48577	S 70
97.746	0	48873	S 80
98.352	0	49176	S 80
98.94	0	49470	S 80
99.6	0	49800	S 80
100.204	0	50102	S 80
100.81	0	50405	S 80
101.46	0	50730	S 80
102.106	0	51053	S 70
102.74	0	51370	S 80
103.376	0	51688	S 80
103.996	0	51998	S 80
104.616	0	52308	S 70
105.186	0	52593	S 80
105.878	0	52939	S 80
106.488	0	53244	S 80
107.15	0	53575	S 70
107.758	0	53879	S 80
108.336	0	54168	S 70
108.974	0	54487	S 80
109.65	0	54825	S 70
110.262	0	55131	S 80
110.882	0	55441	S 80
111.528	0	55764	S 70
112.136	0	56068	S 80
112.708	0	56354	S 70
113.326	0	56663	S 80
113.972	0	56986	S 80
114.6	0	57300	S 80
115.166	0	57583	S 80
115.786	0	57893	S 80
116.38	0	58190	S 80
116.98	0	58490	S 80
117.64	0	58820	S 80
118.206	0	59103	S 80
118.832	0	59416	S 70
119.462	0	59731	S 80
120.026	0	60013	S 80
120.622	0	60311	S 80
121.264	0	60632	S 80
121.884	0	60942	S 70
122.54	0	61270	S 80
123.11	0	61555	S 80
123.744	0	61872	S 80
124.386	0	62193	S 70
124.98	0	62490	S 80
125.572	0	62786	S 80
126.184	0	63092	S 70
126.81	0	63405	S 80
127.468	0	63734	S 70
128.066	0	64033	S 80
128.656	0	64328	S 80
129.246	0	64623	S 80
129.882	0	64941	S 80
130.45	0	65225	S 80
131.022	0	65511	S 80
131.648	0	65824	S 80
132.242	0	66121	S 70
132.854	0	66427	S 80
133.476	0	66738	S 80
134.132	0	67066	S 80
134.786	0	67393	S 70
135.426	0	67713	S 80
136.09	0	68045	S 80
136.664	0	68332	S 80
137.274	0	68637	S 70
137.9	0	68950	S 80
138.55	0	69275	S 80
139.116	0	69558	S 80
139.75	0	69875	S 70
140.368	0	70184	S 80
141.022	0	70511	S 80
141.596	0	70798	S 80
142.166	0	71083	S 80
142.738	0	71369	S 70
143.32	0	71660	S 80
143.886	0	71943	S 80
144.528	0	72264	S 70
145.106	0	72553	S 80
145.784	0	72892	S 80
146.406	0	73203	S 80
147.036	0	73518	S 70
147.634	0	73817	S 80
148.216	0	74108	S 80
148.768	0	74384	S 80
149.412	0	74706	S 80
150.024	0	75012	S 80
150.654	0	75327	S 70
151.266	0	75633	S 80
151.898	0	75949	S 70
152.55	0	76275	S 80
153.158	0	76579	S 80
153.72	0	76860	S 80
154.354	0	77177	S 70
154.976	0	77488	S 80
155.556	0	77778	S 70
156.232	0	78116	S 80
156.804	0	78402	S 80
157.41	0	78705	S 70
158.052	0	79026	S 80
158.666	0	79333	S 70
159.304	0	79652	S 80
159.89	0	79945	S 80
160.496	0	80248	S 80
161.1	0	80550	S 80
161.71	0	80855	S 80
162.288	0	81144	S 80
162.948	0	81474	S 80
163.554	0	81777	S 80
164.166	0	82083	S 80
164.756	0	82378	S 70
165.36	0	82680	S 80
166.016	0	83008	S 80
166.594	0	83297	S 80
167.248	0	83624	S 80
167.896	0	83948	S 70
168.506	0	84253	S 80
169.172	0	84586	S 80
169.782	0	84891	S 80
170.44	0	85220	S 80
171.066	0	85533	S 80
171.652	0	85826	S 80
172.268	0	86134	S 80
172.852	0	86426	S 80
173.456	0	86728	S 80
174.02	0	87010	S 80
174.606	0	87303	S 80
175.228	0	87614	S 80
175.83	0	87915	S 80
176.414	0	88207	S 80
177.062	0	88531	S 80
177.694	0	88847	S 80
178.328	0	89164	S 80
178.928	0	89464	S 80
179.512	0	89756	S 70
180.168	0	90084	S 80
180.808	0	90404	S 70
181.41	0	90705	S 80
182	0	91000	S 70
182.626	0	91313	S 80
183.214	0	91607	S 70
183.804	0	91902	S 80
184.382	0	92191	S 80
184.956	0	92478	S 80
