onset	duration	sample	value
0	0	0	boundary
58.376	0	29188	S202
64.804	0	32402	S202
69.196	0	34598	S 53
69.868	0	34934	S201
70.83	0	35415	S 51
71.342	0	35671	S201
72.296	0	36148	S 53
72.68	0	36340	S201
73.764	0	36882	S 55
74.058	0	37029	S202
75.33	0	37665	S 55
75.796	0	37898	S201
76.864	0	38432	S 51
77.334	0	38667	S201
78.464	0	39232	S 54
78.95	0	39475	S201
80.014	0	40007	S 52
80.442	0	40221	S201
81.464	0	40732	S 52
81.794	0	40897	S201
82.93	0	41465	S 54
83.384	0	41692	S201
86.118	0	43059	S202
88.322	0	44161	S202
92.646	0	46323	S 55
93.07	0	46535	S201
94.264	0	47132	S 52
94.69	0	47345	S201
95.864	0	47932	S 51
96.27	0	48135	S201
97.396	0	48698	S 54
97.766	0	48883	S201
98.88	0	49440	S 52
99.398	0	49699	S201
100.43	0	50215	S 55
100.89	0	50445	S201
101.996	0	50998	S 53
102.306	0	51153	S201
103.664	0	51832	S 54
103.942	0	51971	S201
105.296	0	52648	S 51
105.61	0	52805	S201
106.88	0	53440	S 55
107.318	0	53659	S201
108.364	0	54182	S 55
108.854	0	54427	S201
109.846	0	54923	S 55
110.306	0	55153	S201
111.314	0	55657	S 54
111.706	0	55853	S201
112.93	0	56465	S 52
113.25	0	56625	S201
114.43	0	57215	S 51
114.742	0	57371	S201
115.93	0	57965	S 51
116.342	0	58171	S201
117.53	0	58765	S 54
117.906	0	58953	S201
119.114	0	59557	S 51
119.418	0	59709	S201
120.73	0	60365	S 54
121.034	0	60517	S201
122.164	0	61082	S 52
122.45	0	61225	S201
123.73	0	61865	S 53
124.014	0	62007	S201
125.23	0	62615	S 53
125.518	0	62759	S201
126.714	0	63357	S 53
127.046	0	63523	S201
128.296	0	64148	S 53
128.546	0	64273	S201
129.796	0	64898	S 52
130.078	0	65039	S201
131.28	0	65640	S 53
131.578	0	65789	S201
132.83	0	66415	S 54
133.102	0	66551	S201
134.464	0	67232	S 55
134.83	0	67415	S201
135.98	0	67990	S 51
136.286	0	68143	S201
137.564	0	68782	S 51
137.83	0	68915	S201
139.18	0	69590	S 52
139.482	0	69741	S201
140.68	0	70340	S 52
140.97	0	70485	S201
142.296	0	71148	S 55
142.586	0	71293	S202
143.864	0	71932	S 53
144.19	0	72095	S201
145.346	0	72673	S 54
145.67	0	72835	S201
146.93	0	73465	S 55
147.318	0	73659	S201
148.43	0	74215	S 52
148.746	0	74373	S201
149.864	0	74932	S 51
151.414	0	75707	S 53
152.062	0	76031	S201
152.88	0	76440	S 54
153.23	0	76615	S201
159.85	0	79925	S202
161.862	0	80931	S202
166.28	0	83140	S 35
166.718	0	83359	S201
167.748	0	83874	S 33
168.242	0	84121	S201
169.248	0	84624	S 32
169.59	0	84795	S201
170.78	0	85390	S 34
171.178	0	85589	S201
172.33	0	86165	S 32
172.614	0	86307	S201
173.948	0	86974	S 34
174.226	0	87113	S201
175.58	0	87790	S 31
175.826	0	87913	S201
