onset	duration	sample	value
0	0	0	boundary
12.84	0	6420	S  1
16.334	0	8167	S180
16.938	0	8469	S180
17.568	0	8784	S180
18.192	0	9096	S180
18.82	0	9410	S180
19.468	0	9734	S180
20.044	0	10022	S180
20.684	0	10342	S180
21.284	0	10642	S180
21.92	0	10960	S180
22.566	0	11283	S180
23.146	0	11573	S180
23.826	0	11913	S180
24.488	0	12244	S180
25.05	0	12525	S180
25.656	0	12828	S 80
26.258	0	13129	S 80
26.84	0	13420	S 80
27.426	0	13713	S 70
28.048	0	14024	S 80
28.67	0	14335	S 80
29.272	0	14636	S 70
29.904	0	14952	S 80
30.53	0	15265	S 80
31.132	0	15566	S 80
31.748	0	15874	S 70
32.386	0	16193	S 80
33.008	0	16504	S 80
33.628	0	16814	S 80
34.29	0	17145	S 80
34.858	0	17429	S 70
35.49	0	17745	S 80
36.072	0	18036	S 80
36.648	0	18324	S 80
37.228	0	18614	S 80
37.84	0	18920	S 80
38.454	0	19227	S 70
39.068	0	19534	S 80
39.7	0	19850	S 80
40.274	0	20137	S 80
40.866	0	20433	S 80
41.486	0	20743	S 80
42.082	0	21041	S 70
42.72	0	21360	S 80
43.376	0	21688	S 70
43.99	0	21995	S 80
44.654	0	22327	S 80
45.3	0	22650	S 80
45.922	0	22961	S 80
46.556	0	23278	S 80
47.16	0	23580	S 80
47.818	0	23909	S 70
48.41	0	24205	S 80
48.996	0	24498	S 70
49.654	0	24827	S 80
50.254	0	25127	S 80
50.882	0	25441	S 70
51.508	0	25754	S 80
52.156	0	26078	S 70
52.716	0	26358	S 80
53.274	0	26637	S 80
53.916	0	26958	S 80
54.522	0	27261	S 80
55.128	0	27564	S 80
55.774	0	27887	S 80
56.352	0	28176	S 80
56.916	0	28458	S 80
57.488	0	28744	S 70
58.11	0	29055	S 80
58.686	0	29343	S 70
59.28	0	29640	S 80
59.94	0	29970	S 80
60.572	0	30286	S 70
61.222	0	30611	S 80
61.784	0	30892	S 80
62.436	0	31218	S 80
63.048	0	31524	S 70
63.674	0	31837	S 80
64.296	0	32148	S 80
64.948	0	32474	S 80
65.61	0	32805	S 80
66.258	0	33129	S 80
66.842	0	33421	S 80
67.468	0	33734	S 80
68.034	0	34017	S 70
68.63	0	34315	S 80
69.23	0	34615	S 80
69.864	0	34932	S 80
70.458	0	35229	S 70
71.092	0	35546	S 80
71.724	0	35862	S 70
72.374	0	36187	S 80
72.966	0	36483	S 80
73.55	0	36775	S 80
74.19	0	37095	S 80
74.758	0	37379	S 80
75.388	0	37694	S 80
76.024	0	38012	S 80
76.628	0	38314	S 80
77.258	0	38629	S 80
77.886	0	38943	S 80
78.552	0	39276	S 80
79.212	0	39606	S 80
79.838	0	39919	S 80
80.524	0	40262	S 80
81.228	0	40614	S 70
81.92	0	40960	S 80
82.584	0	41292	S 80
83.202	0	41601	S 80
83.79	0	41895	S 80
84.428	0	42214	S 80
85.124	0	42562	S 70
85.73	0	42865	S 80
86.382	0	43191	S 70
87.038	0	43519	S 80
87.64	0	43820	S 80
88.278	0	44139	S 80
88.906	0	44453	S 70
89.49	0	44745	S 80
90.106	0	45053	S 80
90.76	0	45380	S 70
91.406	0	45703	S 80
91.984	0	45992	S 80
92.572	0	46286	S 80
93.156	0	46578	S 80
93.79	0	46895	S 80
94.444	0	47222	S 80
95.086	0	47543	S 80
95.692	0	47846	S 70
96.296	0	48148	S 80
96.86	0	48430	S 80
97.456	0	48728	S 80
98.1	0	49050	S 80
98.686	0	49343	S 80
99.316	0	49658	S 80
99.938	0	49969	S 80
100.544	0	50272	S 80
101.142	0	50571	S 80
101.788	0	50894	S 70
102.362	0	51181	S 80
102.954	0	51477	S 80
103.518	0	51759	S 80
104.128	0	52064	S 80
104.686	0	52343	S 70
105.352	0	52676	S 80
106.008	0	53004	S 80
106.562	0	53281	S 80
107.152	0	53576	S 80
107.778	0	53889	S 80
108.402	0	54201	S 80
109.028	0	54514	S 80
109.654	0	54827	S 80
110.248	0	55124	S 80
110.908	0	55454	S 80
111.498	0	55749	S 80
112.128	0	56064	S 80
112.808	0	56404	S 80
113.436	0	56718	S 80
114.048	0	57024	S 80
114.64	0	57320	S 80
115.22	0	57610	S 70
115.802	0	57901	S 80
116.442	0	58221	S 70
117.09	0	58545	S 80
117.694	0	58847	S 70
118.322	0	59161	S 80
118.894	0	59447	S 80
119.51	0	59755	S 80
120.134	0	60067	S 80
120.76	0	60380	S 80
121.356	0	60678	S 70
121.964	0	60982	S 80
122.6	0	61300	S 80
123.248	0	61624	S 80
123.846	0	61923	S 80
124.484	0	62242	S 80
125.114	0	62557	S 70
125.766	0	62883	S 80
126.424	0	63212	S 70
127.012	0	63506	S 80
127.622	0	63811	S 80
128.204	0	64102	S 70
128.812	0	64406	S 80
129.434	0	64717	S 80
130.022	0	65011	S 80
130.632	0	65316	S 80
131.216	0	65608	S 80
131.862	0	65931	S 80
132.516	0	66258	S 80
133.11	0	66555	S 70
133.776	0	66888	S 80
134.364	0	67182	S 80
134.988	0	67494	S 70
135.63	0	67815	S 80
136.23	0	68115	S 80
136.874	0	68437	S 80
137.454	0	68727	S 80
138.084	0	69042	S 70
138.704	0	69352	S 80
139.27	0	69635	S 80
139.862	0	69931	S 80
140.478	0	70239	S 80
141.028	0	70514	S 80
141.608	0	70804	S 70
142.206	0	71103	S 80
142.798	0	71399	S 80
143.438	0	71719	S 70
143.996	0	71998	S 80
144.562	0	72281	S 80
145.152	0	72576	S 80
145.742	0	72871	S 80
146.38	0	73190	S 80
146.98	0	73490	S 80
147.61	0	73805	S 80
148.234	0	74117	S 80
148.844	0	74422	S 70
149.526	0	74763	S 80
150.132	0	75066	S 70
150.77	0	75385	S 80
151.42	0	75710	S 80
152.072	0	76036	S 70
152.66	0	76330	S 80
153.294	0	76647	S 80
153.86	0	76930	S 80
154.444	0	77222	S 80
155.036	0	77518	S 70
155.654	0	77827	S 80
156.248	0	78124	S 70
156.86	0	78430	S 80
157.428	0	78714	S 70
158.062	0	79031	S 80
158.704	0	79352	S 80
159.378	0	79689	S 70
159.972	0	79986	S 80
160.578	0	80289	S 70
161.22	0	80610	S 80
161.792	0	80896	S 70
162.372	0	81186	S 80
162.966	0	81483	S 80
163.62	0	81810	S 80
164.274	0	82137	S 80
164.93	0	82465	S 80
165.54	0	82770	S 70
166.154	0	83077	S 80
166.822	0	83411	S 80
167.462	0	83731	S 80
168.062	0	84031	S 80
168.632	0	84316	S 70
169.178	0	84589	S 80
169.86	0	84930	S 80
170.424	0	85212	S 80
171.044	0	85522	S 80
171.698	0	85849	S 80
172.32	0	86160	S 80
172.954	0	86477	S 80
173.58	0	86790	S 80
174.13	0	87065	S 70
174.72	0	87360	S 80
175.32	0	87660	S 70
176.004	0	88002	S 80
176.592	0	88296	S 70
177.188	0	88594	S 80
177.784	0	88892	S 70
178.478	0	89239	S 80
179.134	0	89567	S 70
179.766	0	89883	S 80
180.474	0	90237	S 80
181.134	0	90567	S 70
181.76	0	90880	S 80
182.44	0	91220	S 80
183.116	0	91558	S 80
183.758	0	91879	S 80
184.408	0	92204	S 80
185.034	0	92517	S 80
185.62	0	92810	S 80
186.198	0	93099	S 80
186.784	0	93392	S 80
187.43	0	93715	S 80
188.1	0	94050	S 80
188.756	0	94378	S 80
189.406	0	94703	S 80
189.982	0	94991	S 80
190.616	0	95308	S 80
191.204	0	95602	S 80
191.86	0	95930	S 70
192.474	0	96237	S 80
193.082	0	96541	S 70
193.678	0	96839	S 80
194.358	0	97179	S 80
195.016	0	97508	S 70
195.618	0	97809	S 80
196.264	0	98132	S 70
196.878	0	98439	S 80
197.512	0	98756	S 80
198.15	0	99075	S 70
198.764	0	99382	S 80
199.424	0	99712	S 70
200.094	0	100047	S 80
200.714	0	100357	S 80
201.354	0	100677	S 80
202.004	0	101002	S 70
202.622	0	101311	S 80
203.27	0	101635	S 80
203.87	0	101935	S 80
204.428	0	102214	S 80
205.072	0	102536	S 80
205.628	0	102814	S 80
206.194	0	103097	S 80
206.804	0	103402	S 80
207.412	0	103706	S 80
207.968	0	103984	S 80
208.59	0	104295	S 80
209.226	0	104613	S 80
209.876	0	104938	S 70
210.544	0	105272	S 80
211.154	0	105577	S 80
211.748	0	105874	S 80
212.344	0	106172	S 70
212.966	0	106483	S 80
213.628	0	106814	S 80
214.274	0	107137	S 80
214.846	0	107423	S 80
215.516	0	107758	S 80
216.122	0	108061	S 80
216.77	0	108385	S 70
217.406	0	108703	S 80
218.02	0	109010	S 70
218.61	0	109305	S 80
219.196	0	109598	S 80
219.794	0	109897	S 80
220.402	0	110201	S 80
221.016	0	110508	S 80
221.666	0	110833	S 80
222.252	0	111126	S 80
222.898	0	111449	S 80
223.538	0	111769	S 70
224.192	0	112096	S 80
224.828	0	112414	S 80
225.444	0	112722	S 80
226.102	0	113051	S 80
226.682	0	113341	S 70
227.308	0	113654	S 80
227.974	0	113987	S 80
228.602	0	114301	S 80
229.166	0	114583	S 80
229.818	0	114909	S 70
230.456	0	115228	S 80
231.096	0	115548	S 70
231.74	0	115870	S 80
232.368	0	116184	S 80
237.722	0	118861	S  1
