onset	duration	sample	value
0	0	0	boundary
1.616	0	808	S180
2.24	0	1120	S180
2.884	0	1442	S180
3.49	0	1745	S180
4.116	0	2058	S180
4.782	0	2391	S180
5.356	0	2678	S180
5.992	0	2996	S180
6.566	0	3283	S180
7.204	0	3602	S180
7.876	0	3938	S180
8.448	0	4224	S180
9.034	0	4517	S180
9.648	0	4824	S180
10.292	0	5146	S180
10.89	0	5445	S 80
11.524	0	5762	S 70
12.156	0	6078	S 80
12.78	0	6390	S 80
13.416	0	6708	S 80
14.052	0	7026	S 80
14.676	0	7338	S 80
15.31	0	7655	S 80
15.944	0	7972	S 80
16.568	0	8284	S 70
17.206	0	8603	S 80
17.834	0	8917	S 80
18.456	0	9228	S 80
19.09	0	9545	S 70
19.716	0	9858	S 80
20.346	0	10173	S 80
20.982	0	10491	S 80
21.622	0	10811	S 80
22.254	0	11127	S 70
22.878	0	11439	S 80
23.514	0	11757	S 80
24.15	0	12075	S 70
24.774	0	12387	S 80
25.41	0	12705	S 80
26.034	0	13017	S 80
26.666	0	13333	S 80
27.3	0	13650	S 70
27.934	0	13967	S 80
28.57	0	14285	S 80
29.206	0	14603	S 80
29.84	0	14920	S 70
30.474	0	15237	S 80
31.11	0	15555	S 80
31.732	0	15866	S 70
32.37	0	16185	S 80
32.994	0	16497	S 80
33.63	0	16815	S 80
34.268	0	17134	S 80
34.902	0	17451	S 70
35.526	0	17763	S 80
36.158	0	18079	S 80
36.792	0	18396	S 80
37.426	0	18713	S 70
38.06	0	19030	S 80
38.696	0	19348	S 70
39.33	0	19665	S 80
39.962	0	19981	S 80
40.586	0	20293	S 70
41.22	0	20610	S 80
41.852	0	20926	S 80
42.476	0	21238	S 80
43.114	0	21557	S 80
43.736	0	21868	S 80
44.37	0	22185	S 70
44.998	0	22499	S 80
45.632	0	22816	S 80
46.266	0	23133	S 70
46.906	0	23453	S 80
47.53	0	23765	S 80
48.166	0	24083	S 80
48.802	0	24401	S 80
49.426	0	24713	S 80
50.062	0	25031	S 80
50.696	0	25348	S 80
51.334	0	25667	S 80
51.968	0	25984	S 80
52.604	0	26302	S 80
53.228	0	26614	S 80
53.864	0	26932	S 80
54.49	0	27245	S 80
55.122	0	27561	S 80
55.758	0	27879	S 80
56.394	0	28197	S 70
57.028	0	28514	S 80
57.662	0	28831	S 80
58.296	0	29148	S 80
58.936	0	29468	S 80
59.57	0	29785	S 80
60.206	0	30103	S 80
60.84	0	30420	S 80
61.468	0	30734	S 70
62.1	0	31050	S 80
62.74	0	31370	S 80
63.374	0	31687	S 70
63.996	0	31998	S 80
64.62	0	32310	S 70
65.254	0	32627	S 80
65.89	0	32945	S 80
66.512	0	33256	S 70
67.148	0	33574	S 80
67.782	0	33891	S 80
68.406	0	34203	S 70
69.042	0	34521	S 80
69.678	0	34839	S 80
70.312	0	35156	S 80
70.938	0	35469	S 80
71.572	0	35786	S 80
72.208	0	36104	S 80
72.842	0	36421	S 80
73.48	0	36740	S 80
74.114	0	37057	S 80
74.738	0	37369	S 80
75.374	0	37687	S 80
76.01	0	38005	S 70
76.632	0	38316	S 80
77.266	0	38633	S 70
77.892	0	38946	S 80
78.524	0	39262	S 70
79.15	0	39575	S 80
79.784	0	39892	S 80
80.408	0	40204	S 80
81.042	0	40521	S 70
81.666	0	40833	S 80
82.306	0	41153	S 70
82.93	0	41465	S 80
83.554	0	41777	S 80
84.188	0	42094	S 70
84.81	0	42405	S 80
85.44	0	42720	S 80
86.076	0	43038	S 80
86.698	0	43349	S 80
87.326	0	43663	S 80
87.95	0	43975	S 80
88.586	0	44293	S 70
89.21	0	44605	S 80
89.848	0	44924	S 80
90.488	0	45244	S 80
91.122	0	45561	S 70
91.748	0	45874	S 80
92.382	0	46191	S 80
93.012	0	46506	S 80
93.648	0	46824	S 80
94.282	0	47141	S 80
94.914	0	47457	S 80
95.542	0	47771	S 80
96.176	0	48088	S 80
96.812	0	48406	S 80
97.434	0	48717	S 80
98.068	0	49034	S 80
98.692	0	49346	S 80
99.334	0	49667	S 80
99.968	0	49984	S 70
100.602	0	50301	S 80
101.238	0	50619	S 70
101.872	0	50936	S 80
102.508	0	51254	S 80
103.142	0	51571	S 80
103.776	0	51888	S 70
104.412	0	52206	S 80
105.04	0	52520	S 70
105.676	0	52838	S 80
106.312	0	53156	S 80
106.936	0	53468	S 70
107.57	0	53785	S 80
108.204	0	54102	S 80
108.838	0	54419	S 80
109.464	0	54732	S 80
110.102	0	55051	S 80
110.736	0	55368	S 70
111.37	0	55685	S 80
112.006	0	56003	S 80
112.642	0	56321	S 80
113.266	0	56633	S 70
113.9	0	56950	S 80
114.534	0	57267	S 80
115.168	0	57584	S 70
115.802	0	57901	S 80
116.436	0	58218	S 80
117.074	0	58537	S 80
117.7	0	58850	S 80
118.334	0	59167	S 80
118.968	0	59484	S 70
119.602	0	59801	S 80
120.238	0	60119	S 70
120.872	0	60436	S 80
121.506	0	60753	S 80
122.14	0	61070	S 70
122.766	0	61383	S 80
123.4	0	61700	S 70
