onset	duration	sample	value
0	0	0	boundary
33.602	0	16801	S202
42.562	0	21281	S202
47.024	0	23512	S 51
48.574	0	24287	S 53
50.074	0	25037	S 52
51.574	0	25787	S 52
53.208	0	26604	S 53
54.79	0	27395	S 51
56.358	0	28179	S 54
57.958	0	28979	S 54
59.574	0	29787	S 55
59.974	0	29987	S201
61.058	0	30529	S 55
61.538	0	30769	S201
76.822	0	38411	S202
82.502	0	41251	S202
86.924	0	43462	S 12
88.408	0	44204	S 11
88.89	0	44445	S201
89.924	0	44962	S 14
90.31	0	45155	S201
91.44	0	45720	S 15
91.706	0	45853	S202
92.908	0	46454	S 13
93.786	0	46893	S201
94.39	0	47195	S 14
94.874	0	47437	S201
95.858	0	47929	S 15
96.65	0	48325	S201
97.424	0	48712	S 15
97.966	0	48983	S201
98.958	0	49479	S 11
99.386	0	49693	S201
100.49	0	50245	S 11
101.098	0	50549	S201
102.124	0	51062	S 13
102.506	0	51253	S201
103.674	0	51837	S 12
104.026	0	52013	S201
105.158	0	52579	S 13
105.544	0	52772	S201
106.658	0	53329	S 14
107.022	0	53511	S201
108.224	0	54112	S 12
108.674	0	54337	S201
109.674	0	54837	S 15
110.4	0	55200	S201
111.274	0	55637	S 14
111.756	0	55878	S201
112.758	0	56379	S 12
113.248	0	56624	S201
114.324	0	57162	S 11
114.716	0	57358	S201
115.908	0	57954	S 11
116.232	0	58116	S201
117.508	0	58754	S 15
117.912	0	58956	S201
119.04	0	59520	S 13
119.298	0	59649	S202
120.59	0	60295	S 14
121.184	0	60592	S201
122.19	0	61095	S 12
122.61	0	61305	S201
123.79	0	61895	S 12
124.16	0	62080	S201
125.29	0	62645	S 13
125.632	0	62816	S201
126.79	0	63395	S 14
127.216	0	63608	S201
128.374	0	64187	S 12
128.66	0	64330	S201
130.008	0	65004	S 14
130.316	0	65158	S201
131.474	0	65737	S 11
131.776	0	65888	S202
133.024	0	66512	S 15
133.532	0	66766	S201
134.524	0	67262	S 13
134.776	0	67388	S201
136.09	0	68045	S 14
136.672	0	68336	S201
137.574	0	68787	S 15
138.388	0	69194	S201
139.058	0	69529	S 12
139.548	0	69774	S201
140.558	0	70279	S 13
140.932	0	70466	S201
142.19	0	71095	S 11
142.648	0	71324	S201
143.808	0	71904	S 15
144.128	0	72064	S201
145.408	0	72704	S 11
145.916	0	72958	S201
146.924	0	73462	S 13
147.264	0	73632	S201
158.308	0	79154	S202
168.356	0	84178	S202
172.824	0	86412	S 43
174.424	0	87212	S 43
174.528	0	87264	S201
176.024	0	88012	S 42
176.568	0	88284	S201
177.624	0	88812	S 45
178.04	0	89020	S201
179.192	0	89596	S 41
179.544	0	89772	S201
180.692	0	90346	S 42
181.436	0	90718	S201
182.292	0	91146	S 44
182.808	0	91404	S201
183.792	0	91896	S 41
184.268	0	92134	S201
185.392	0	92696	S 45
185.788	0	92894	S201
186.942	0	93471	S 43
187.344	0	93672	S201
188.474	0	94237	S 41
188.98	0	94490	S201
190.042	0	95021	S 42
190.496	0	95248	S201
191.674	0	95837	S 45
192.016	0	96008	S201
193.192	0	96596	S 44
193.54	0	96770	S201
194.792	0	97396	S 42
195.172	0	97586	S201
196.274	0	98137	S 41
196.708	0	98354	S201
197.924	0	98962	S 41
198.384	0	99192	S201
199.592	0	99796	S 44
200.052	0	100026	S201
201.224	0	100612	S 42
201.512	0	100756	S201
202.808	0	101404	S 45
203.172	0	101586	S201
204.324	0	102162	S 41
204.716	0	102358	S201
205.942	0	102971	S 42
206.316	0	103158	S201
207.542	0	103771	S 44
208.036	0	104018	S201
209.092	0	104546	S 41
209.58	0	104790	S201
210.642	0	105321	S 45
211.248	0	105624	S202
212.142	0	106071	S 44
212.6	0	106300	S201
213.742	0	106871	S 41
214.232	0	107116	S201
215.324	0	107662	S 45
215.956	0	107978	S201
216.792	0	108396	S 44
217.104	0	108552	S202
218.358	0	109179	S 43
218.864	0	109432	S201
219.974	0	109987	S 43
220.344	0	110172	S201
221.542	0	110771	S 43
221.904	0	110952	S201
223.124	0	111562	S 42
223.68	0	111840	S201
224.692	0	112346	S 44
225.204	0	112602	S201
226.192	0	113096	S 42
226.576	0	113288	S201
227.742	0	113871	S 43
228.308	0	114154	S201
