onset	duration	sample	value
0	0	0	boundary
22.446	0	11223	S  1
25.934	0	12967	S180
26.538	0	13269	S180
27.186	0	13593	S180
27.784	0	13892	S180
28.424	0	14212	S180
29.108	0	14554	S180
29.706	0	14853	S180
30.316	0	15158	S180
30.918	0	15459	S180
31.564	0	15782	S180
32.16	0	16080	S180
32.832	0	16416	S180
33.39	0	16695	S180
33.958	0	16979	S180
34.51	0	17255	S180
35.142	0	17571	S 80
35.756	0	17878	S 80
36.438	0	18219	S 80
37.104	0	18552	S 80
37.712	0	18856	S 80
38.358	0	19179	S 70
38.99	0	19495	S 80
39.582	0	19791	S 80
40.19	0	20095	S 80
40.804	0	20402	S 70
41.474	0	20737	S 80
42.12	0	21060	S 80
42.756	0	21378	S 70
43.4	0	21700	S 80
44.036	0	22018	S 80
44.7	0	22350	S 80
45.342	0	22671	S 80
45.936	0	22968	S 80
46.578	0	23289	S 80
47.204	0	23602	S 80
47.81	0	23905	S 80
48.448	0	24224	S 80
49.066	0	24533	S 80
49.672	0	24836	S 80
50.282	0	25141	S 80
50.922	0	25461	S 80
51.576	0	25788	S 80
52.204	0	26102	S 80
52.874	0	26437	S 80
53.466	0	26733	S 70
54.09	0	27045	S 80
54.666	0	27333	S 80
55.29	0	27645	S 80
55.888	0	27944	S 70
56.522	0	28261	S 80
57.108	0	28554	S 70
57.718	0	28859	S 80
58.3	0	29150	S 80
58.886	0	29443	S 70
59.53	0	29765	S 80
60.112	0	30056	S 70
60.752	0	30376	S 80
61.36	0	30680	S 80
62.002	0	31001	S 80
62.584	0	31292	S 80
63.184	0	31592	S 70
63.816	0	31908	S 80
64.432	0	32216	S 80
65.084	0	32542	S 70
65.722	0	32861	S 80
66.296	0	33148	S 80
66.924	0	33462	S 80
67.578	0	33789	S 70
68.22	0	34110	S 80
68.786	0	34393	S 70
69.442	0	34721	S 80
70.074	0	35037	S 80
70.668	0	35334	S 80
71.302	0	35651	S 80
71.862	0	35931	S 80
72.462	0	36231	S 70
73.1	0	36550	S 80
73.734	0	36867	S 80
74.37	0	37185	S 70
75.022	0	37511	S 80
75.6	0	37800	S 70
76.188	0	38094	S 80
76.774	0	38387	S 80
77.33	0	38665	S 80
77.97	0	38985	S 70
78.582	0	39291	S 80
79.198	0	39599	S 80
79.77	0	39885	S 80
80.34	0	40170	S 80
81.006	0	40503	S 80
81.602	0	40801	S 80
82.182	0	41091	S 70
82.748	0	41374	S 80
83.37	0	41685	S 80
83.958	0	41979	S 80
84.636	0	42318	S 80
85.29	0	42645	S 80
85.918	0	42959	S 70
86.586	0	43293	S 80
87.202	0	43601	S 80
87.786	0	43893	S 70
88.362	0	44181	S 80
89.004	0	44502	S 70
89.61	0	44805	S 80
90.214	0	45107	S 80
90.832	0	45416	S 80
91.428	0	45714	S 70
92.08	0	46040	S 80
92.684	0	46342	S 70
93.344	0	46672	S 80
93.92	0	46960	S 70
94.508	0	47254	S 80
95.13	0	47565	S 80
95.71	0	47855	S 70
96.404	0	48202	S 80
97.076	0	48538	S 80
97.726	0	48863	S 80
98.412	0	49206	S 70
98.998	0	49499	S 80
99.594	0	49797	S 80
100.262	0	50131	S 80
100.906	0	50453	S 80
101.566	0	50783	S 80
102.204	0	51102	S 70
102.826	0	51413	S 80
103.432	0	51716	S 70
104.018	0	52009	S 80
104.666	0	52333	S 70
105.284	0	52642	S 80
105.918	0	52959	S 70
106.5	0	53250	S 80
107.112	0	53556	S 70
107.716	0	53858	S 80
108.298	0	54149	S 80
108.938	0	54469	S 80
109.55	0	54775	S 80
110.198	0	55099	S 80
110.844	0	55422	S 80
111.462	0	55731	S 80
112.064	0	56032	S 80
112.628	0	56314	S 80
113.262	0	56631	S 80
113.868	0	56934	S 80
114.482	0	57241	S 80
115.12	0	57560	S 70
115.714	0	57857	S 80
116.316	0	58158	S 80
116.966	0	58483	S 80
117.552	0	58776	S 80
118.154	0	59077	S 80
118.756	0	59378	S 80
119.346	0	59673	S 70
119.918	0	59959	S 80
120.564	0	60282	S 80
121.184	0	60592	S 80
121.814	0	60907	S 80
122.47	0	61235	S 80
123.062	0	61531	S 70
123.696	0	61848	S 80
124.318	0	62159	S 80
124.946	0	62473	S 80
125.576	0	62788	S 70
126.198	0	63099	S 80
126.838	0	63419	S 80
127.48	0	63740	S 70
128.114	0	64057	S 80
128.76	0	64380	S 80
129.358	0	64679	S 80
129.994	0	64997	S 80
130.58	0	65290	S 70
131.194	0	65597	S 80
131.758	0	65879	S 70
132.388	0	66194	S 80
133.014	0	66507	S 70
133.676	0	66838	S 80
134.318	0	67159	S 80
134.988	0	67494	S 80
135.574	0	67787	S 80
136.152	0	68076	S 80
136.78	0	68390	S 80
137.336	0	68668	S 80
137.942	0	68971	S 70
138.528	0	69264	S 80
139.17	0	69585	S 70
139.798	0	69899	S 80
140.396	0	70198	S 80
141.026	0	70513	S 80
141.658	0	70829	S 80
142.262	0	71131	S 80
142.94	0	71470	S 80
143.542	0	71771	S 80
144.168	0	72084	S 70
144.808	0	72404	S 80
145.486	0	72743	S 80
146.092	0	73046	S 80
146.72	0	73360	S 70
147.334	0	73667	S 80
147.974	0	73987	S 80
148.586	0	74293	S 80
149.186	0	74593	S 80
149.808	0	74904	S 80
150.42	0	75210	S 70
151.09	0	75545	S 80
151.688	0	75844	S 70
152.316	0	76158	S 80
152.902	0	76451	S 80
153.51	0	76755	S 80
154.144	0	77072	S 80
154.762	0	77381	S 80
155.438	0	77719	S 80
156.068	0	78034	S 70
156.656	0	78328	S 80
157.3	0	78650	S 80
157.954	0	78977	S 80
158.584	0	79292	S 80
159.188	0	79594	S 80
159.788	0	79894	S 80
160.42	0	80210	S 80
161.05	0	80525	S 80
161.644	0	80822	S 80
162.244	0	81122	S 70
162.914	0	81457	S 80
163.514	0	81757	S 80
164.146	0	82073	S 70
164.808	0	82404	S 80
165.394	0	82697	S 80
166.006	0	83003	S 80
166.61	0	83305	S 80
167.242	0	83621	S 80
167.878	0	83939	S 80
168.508	0	84254	S 80
169.14	0	84570	S 80
169.738	0	84869	S 80
170.326	0	85163	S 70
170.94	0	85470	S 80
171.57	0	85785	S 80
172.16	0	86080	S 70
172.77	0	86385	S 80
173.372	0	86686	S 80
173.97	0	86985	S 70
174.57	0	87285	S 80
175.174	0	87587	S 80
175.746	0	87873	S 80
176.41	0	88205	S 80
177.002	0	88501	S 80
177.638	0	88819	S 70
178.298	0	89149	S 80
178.914	0	89457	S 80
179.546	0	89773	S 80
180.134	0	90067	S 80
180.71	0	90355	S 80
181.368	0	90684	S 80
182.006	0	91003	S 80
182.576	0	91288	S 80
183.148	0	91574	S 70
183.71	0	91855	S 80
184.304	0	92152	S 70
184.964	0	92482	S 80
185.568	0	92784	S 80
186.184	0	93092	S 80
186.834	0	93417	S 80
187.478	0	93739	S 80
188.12	0	94060	S 70
188.714	0	94357	S 80
189.348	0	94674	S 80
189.98	0	94990	S 80
190.634	0	95317	S 80
191.228	0	95614	S 70
191.782	0	95891	S 80
192.342	0	96171	S 80
192.94	0	96470	S 80
193.614	0	96807	S 80
194.238	0	97119	S 80
194.882	0	97441	S 80
195.504	0	97752	S 80
196.166	0	98083	S 80
196.798	0	98399	S 80
197.466	0	98733	S 80
198.118	0	99059	S 80
198.82	0	99410	S 80
199.504	0	99752	S 80
200.138	0	100069	S 80
200.786	0	100393	S 80
201.442	0	100721	S 80
202.044	0	101022	S 70
202.706	0	101353	S 80
203.386	0	101693	S 80
203.99	0	101995	S 80
204.63	0	102315	S 80
205.254	0	102627	S 80
205.918	0	102959	S 80
206.496	0	103248	S 80
207.12	0	103560	S 70
207.766	0	103883	S 80
208.394	0	104197	S 70
208.99	0	104495	S 80
209.56	0	104780	S 80
210.196	0	105098	S 80
210.824	0	105412	S 80
211.456	0	105728	S 80
212.034	0	106017	S 80
212.592	0	106296	S 80
213.21	0	106605	S 80
213.844	0	106922	S 80
214.428	0	107214	S 70
215.008	0	107504	S 80
215.566	0	107783	S 80
216.184	0	108092	S 80
216.776	0	108388	S 70
217.43	0	108715	S 80
218.082	0	109041	S 80
218.676	0	109338	S 80
