onset	duration	sample	value
0	0	0	boundary
30.94	0	15470	S202
36.32	0	18160	S202
40.694	0	20347	S 25
41.416	0	20708	S201
42.212	0	21106	S 21
42.92	0	21460	S201
43.778	0	21889	S 23
44.284	0	22142	S201
45.378	0	22689	S 25
45.92	0	22960	S201
46.828	0	23414	S 22
47.328	0	23664	S201
48.362	0	24181	S 24
48.852	0	24426	S201
49.894	0	24947	S 22
50.448	0	25224	S201
51.394	0	25697	S 21
51.92	0	25960	S202
52.994	0	26497	S 24
53.64	0	26820	S201
54.494	0	27247	S 23
55.004	0	27502	S201
68.472	0	34236	S202
73.748	0	36874	S202
78.212	0	39106	S 11
78.712	0	39356	S201
79.678	0	39839	S 13
80.232	0	40116	S201
81.294	0	40647	S 15
81.752	0	40876	S201
82.862	0	41431	S 12
83.288	0	41644	S201
84.494	0	42247	S 13
84.924	0	42462	S201
85.944	0	42972	S 14
86.464	0	43232	S201
87.562	0	43781	S 11
87.98	0	43990	S201
89.194	0	44597	S 12
89.596	0	44798	S201
90.744	0	45372	S 14
91.26	0	45630	S201
92.262	0	46131	S 11
92.696	0	46348	S201
93.712	0	46856	S 11
94.108	0	47054	S201
95.312	0	47656	S 14
95.816	0	47908	S201
96.894	0	48447	S 13
97.336	0	48668	S201
98.544	0	49272	S 14
99	0	49500	S201
100.178	0	50089	S 13
100.672	0	50336	S201
101.662	0	50831	S 12
102.164	0	51082	S201
103.312	0	51656	S 13
103.828	0	51914	S201
104.828	0	52414	S 12
105.2	0	52600	S201
106.462	0	53231	S 15
106.92	0	53460	S201
108.062	0	54031	S 12
108.476	0	54238	S201
109.628	0	54814	S 14
110.112	0	55056	S201
111.112	0	55556	S 14
111.568	0	55784	S201
112.694	0	56347	S 15
113.12	0	56560	S201
114.162	0	57081	S 15
114.624	0	57312	S201
115.644	0	57822	S 15
116.072	0	58036	S201
117.262	0	58631	S 13
117.62	0	58810	S201
118.712	0	59356	S 12
119.228	0	59614	S201
120.178	0	60089	S 14
120.5	0	60250	S201
121.728	0	60864	S 13
122.088	0	61044	S201
123.228	0	61614	S 11
123.648	0	61824	S201
124.844	0	62422	S 15
125.188	0	62594	S201
126.328	0	63164	S 12
126.772	0	63386	S201
127.828	0	63914	S 13
128.272	0	64136	S201
129.412	0	64706	S 14
129.852	0	64926	S201
130.912	0	65456	S 12
131.284	0	65642	S201
132.544	0	66272	S 11
133.008	0	66504	S201
134.162	0	67081	S 11
134.572	0	67286	S201
135.628	0	67814	S 11
136.028	0	68014	S201
137.112	0	68556	S 15
137.496	0	68748	S201
138.728	0	69364	S 15
139.08	0	69540	S201
149.228	0	74614	S202
150.404	0	75202	S202
154.896	0	77448	S 22
155.348	0	77674	S201
156.328	0	78164	S 21
157.072	0	78536	S201
157.812	0	78906	S 25
158.296	0	79148	S201
159.446	0	79723	S 22
159.964	0	79982	S201
160.896	0	80448	S 21
161.416	0	80708	S201
162.512	0	81256	S 21
163.088	0	81544	S201
164.096	0	82048	S 23
164.596	0	82298	S201
165.578	0	82789	S 24
166.02	0	83010	S201
167.212	0	83606	S 23
167.668	0	83834	S201
168.762	0	84381	S 24
169.296	0	84648	S201
170.246	0	85123	S 22
170.784	0	85392	S201
171.878	0	85939	S 22
172.368	0	86184	S201
173.428	0	86714	S 25
173.908	0	86954	S201
175.012	0	87506	S 22
175.452	0	87726	S201
176.612	0	88306	S 25
177.132	0	88566	S201
178.128	0	89064	S 25
178.508	0	89254	S201
179.596	0	89798	S 25
180.012	0	90006	S201
181.162	0	90581	S 23
181.432	0	90716	S201
182.662	0	91331	S 22
182.932	0	91466	S202
184.146	0	92073	S 23
184.608	0	92304	S201
185.778	0	92889	S 24
186.252	0	93126	S201
187.278	0	93639	S 25
187.692	0	93846	S201
188.778	0	94389	S 21
189.268	0	94634	S201
190.328	0	95164	S 25
190.736	0	95368	S201
191.896	0	95948	S 21
192.6	0	96300	S201
193.428	0	96714	S 21
193.924	0	96962	S201
195.012	0	97506	S 23
195.336	0	97668	S201
196.528	0	98264	S 24
196.948	0	98474	S201
198.012	0	99006	S 24
198.38	0	99190	S201
199.562	0	99781	S 21
200.012	0	100006	S201
201.096	0	100548	S 23
201.44	0	100720	S201
202.712	0	101356	S 25
203.076	0	101538	S201
204.278	0	102139	S 21
204.888	0	102444	S201
205.862	0	102931	S 22
206.316	0	103158	S201
207.478	0	103739	S 23
207.844	0	103922	S201
209.062	0	104531	S 24
209.48	0	104740	S201
210.562	0	105281	S 24
210.984	0	105492	S201
212.162	0	106081	S 24
212.532	0	106266	S201
213.746	0	106873	S 22
214.196	0	107098	S201
215.328	0	107664	S 23
215.788	0	107894	S201
224.492	0	112246	S202
225.64	0	112820	S202
230.012	0	115006	S 55
230.528	0	115264	S202
231.612	0	115806	S 52
232.176	0	116088	S202
233.162	0	116581	S 51
233.764	0	116882	S201
234.628	0	117314	S 51
235.088	0	117544	S201
236.146	0	118073	S 55
236.572	0	118286	S201
237.728	0	118864	S 55
238.304	0	119152	S201
239.262	0	119631	S 55
239.652	0	119826	S201
240.878	0	120439	S 51
241.468	0	120734	S201
242.496	0	121248	S 54
242.948	0	121474	S201
244.046	0	122023	S 51
244.488	0	122244	S201
245.562	0	122781	S 54
245.916	0	122958	S201
247.012	0	123506	S 55
247.516	0	123758	S201
248.512	0	124256	S 55
249.292	0	124646	S201
250.012	0	125006	S 54
250.42	0	125210	S201
251.446	0	125723	S 52
251.916	0	125958	S201
252.896	0	126448	S 53
253.364	0	126682	S201
254.462	0	127231	S 54
254.828	0	127414	S201
255.996	0	127998	S 54
256.472	0	128236	S201
257.528	0	128764	S 53
257.94	0	128970	S201
259.162	0	129581	S 53
259.496	0	129748	S201
260.728	0	130364	S 53
261.132	0	130566	S201
262.278	0	131139	S 55
