onset	duration	sample	value
0	0	0	boundary
19.352	0	9676	S202
21.552	0	10776	S202
25.946	0	12973	S 11
26.476	0	13238	S201
27.512	0	13756	S 13
27.888	0	13944	S201
29.08	0	14540	S 14
29.472	0	14736	S201
30.562	0	15281	S 15
30.876	0	15438	S201
32.028	0	16014	S 11
32.564	0	16282	S201
33.578	0	16789	S 12
33.96	0	16980	S201
35.162	0	17581	S 13
35.452	0	17726	S201
36.646	0	18323	S 14
37.012	0	18506	S201
38.112	0	19056	S 15
38.668	0	19334	S201
39.646	0	19823	S 12
39.992	0	19996	S201
42	0	21000	S202
42.832	0	21416	S202
47.312	0	23656	S 33
47.628	0	23814	S201
48.778	0	24389	S 34
49.168	0	24584	S201
50.328	0	25164	S 35
50.728	0	25364	S201
51.946	0	25973	S 31
52.268	0	26134	S201
53.462	0	26731	S 34
53.764	0	26882	S201
55.012	0	27506	S 33
55.572	0	27786	S201
56.596	0	28298	S 35
56.976	0	28488	S201
58.128	0	29064	S 32
58.488	0	29244	S201
59.646	0	29823	S 33
59.968	0	29984	S202
61.278	0	30639	S 33
61.86	0	30930	S201
62.796	0	31398	S 34
63.212	0	31606	S201
64.296	0	32148	S 31
64.896	0	32448	S201
65.73	0	32865	S 32
66.116	0	33058	S201
67.212	0	33606	S 31
67.548	0	33774	S201
68.83	0	34415	S 35
69.164	0	34582	S201
70.446	0	35223	S 33
70.804	0	35402	S201
72.046	0	36023	S 35
72.4	0	36200	S201
73.596	0	36798	S 32
74.012	0	37006	S201
75.162	0	37581	S 34
75.504	0	37752	S201
76.712	0	38356	S 33
77.096	0	38548	S201
78.33	0	39165	S 35
78.708	0	39354	S201
79.93	0	39965	S 32
80.4	0	40200	S201
81.43	0	40715	S 32
81.772	0	40886	S201
82.88	0	41440	S 32
83.176	0	41588	S201
84.396	0	42198	S 34
84.712	0	42356	S201
85.862	0	42931	S 35
86.268	0	43134	S201
87.346	0	43673	S 32
87.644	0	43822	S201
88.846	0	44423	S 31
89.22	0	44610	S201
90.462	0	45231	S 32
90.732	0	45366	S201
91.912	0	45956	S 34
92.184	0	46092	S201
93.48	0	46740	S 35
93.768	0	46884	S201
95.096	0	47548	S 33
95.392	0	47696	S202
96.63	0	48315	S 31
97.056	0	48528	S201
98.146	0	49073	S 31
98.468	0	49234	S201
99.68	0	49840	S 34
99.976	0	49988	S201
101.18	0	50590	S 34
101.488	0	50744	S201
102.796	0	51398	S 31
103.08	0	51540	S201
104.346	0	52173	S 31
104.716	0	52358	S201
105.996	0	52998	S 33
106.468	0	53234	S201
107.612	0	53806	S 35
107.912	0	53956	S201
112.24	0	56120	S202
113.772	0	56886	S202
118.096	0	59048	S 24
118.668	0	59334	S201
119.58	0	59790	S 23
119.944	0	59972	S201
121.162	0	60581	S 23
121.764	0	60882	S201
122.696	0	61348	S 25
123.18	0	61590	S201
124.28	0	62140	S 21
124.696	0	62348	S201
