onset	duration	sample	value
0	0	0	boundary
19.226	0	9613	S  1
22.694	0	11347	S180
23.274	0	11637	S180
23.854	0	11927	S180
24.49	0	12245	S180
25.166	0	12583	S180
25.806	0	12903	S180
26.378	0	13189	S180
26.952	0	13476	S180
27.51	0	13755	S180
28.068	0	14034	S180
28.698	0	14349	S180
29.34	0	14670	S180
29.992	0	14996	S180
30.566	0	15283	S180
31.212	0	15606	S180
31.796	0	15898	S 80
32.396	0	16198	S 70
33.048	0	16524	S 80
33.684	0	16842	S 70
34.248	0	17124	S 80
34.87	0	17435	S 80
35.46	0	17730	S 70
36.12	0	18060	S 80
36.718	0	18359	S 80
37.32	0	18660	S 80
37.908	0	18954	S 80
38.536	0	19268	S 80
39.152	0	19576	S 80
39.774	0	19887	S 80
40.358	0	20179	S 80
41.014	0	20507	S 80
41.642	0	20821	S 80
42.288	0	21144	S 80
42.862	0	21431	S 70
43.454	0	21727	S 80
44.056	0	22028	S 70
44.714	0	22357	S 80
45.384	0	22692	S 80
46.01	0	23005	S 70
46.586	0	23293	S 80
47.232	0	23616	S 80
47.842	0	23921	S 80
48.478	0	24239	S 70
49.094	0	24547	S 80
49.736	0	24868	S 70
50.304	0	25152	S 80
50.924	0	25462	S 80
51.538	0	25769	S 80
52.088	0	26044	S 80
52.704	0	26352	S 80
53.29	0	26645	S 80
53.922	0	26961	S 80
54.504	0	27252	S 80
55.176	0	27588	S 80
55.83	0	27915	S 80
56.402	0	28201	S 70
56.978	0	28489	S 80
57.566	0	28783	S 80
58.156	0	29078	S 80
58.754	0	29377	S 80
59.344	0	29672	S 80
59.912	0	29956	S 80
60.496	0	30248	S 80
61.104	0	30552	S 80
61.738	0	30869	S 80
62.306	0	31153	S 80
62.888	0	31444	S 80
63.51	0	31755	S 80
64.118	0	32059	S 80
64.71	0	32355	S 70
65.278	0	32639	S 80
65.898	0	32949	S 80
66.534	0	33267	S 80
67.142	0	33571	S 80
67.772	0	33886	S 70
68.418	0	34209	S 80
68.974	0	34487	S 80
69.632	0	34816	S 70
70.202	0	35101	S 80
70.77	0	35385	S 80
71.428	0	35714	S 80
72.034	0	36017	S 80
72.64	0	36320	S 80
73.298	0	36649	S 80
73.93	0	36965	S 70
74.514	0	37257	S 80
75.182	0	37591	S 80
75.778	0	37889	S 70
76.394	0	38197	S 80
77.032	0	38516	S 80
77.646	0	38823	S 70
78.284	0	39142	S 80
78.896	0	39448	S 80
