onset	duration	sample	value
0	0	0	boundary
18.972	0	9486	S  2
23.484	0	11742	S 21
23.988	0	11994	S121
24.966	0	12483	S 21
25.392	0	12696	S121
26.534	0	13267	S 22
26.876	0	13438	S122
28.15	0	14075	S 12
28.492	0	14246	S212
29.634	0	14817	S 22
30.064	0	15032	S222
31.184	0	15592	S 22
31.58	0	15790	S222
32.684	0	16342	S 12
33.024	0	16512	S212
34.166	0	17083	S 11
34.596	0	17298	S111
35.684	0	17842	S 22
36.08	0	18040	S222
37.166	0	18583	S 22
37.58	0	18790	S222
39.564	0	19782	S222
44.208	0	22104	S222
48.6	0	24300	S 11
48.984	0	24492	S111
50.1	0	25050	S 11
50.448	0	25224	S111
51.716	0	25858	S 22
52.092	0	26046	S222
53.216	0	26608	S 21
53.696	0	26848	S121
54.766	0	27383	S 21
55.184	0	27592	S121
56.3	0	28150	S 11
56.68	0	28340	S111
57.884	0	28942	S 11
58.268	0	29134	S111
59.416	0	29708	S 22
59.82	0	29910	S222
60.866	0	30433	S 22
61.244	0	30622	S222
62.45	0	31225	S 11
62.792	0	31396	S111
63.9	0	31950	S 12
64.236	0	32118	S212
65.466	0	32733	S 21
65.852	0	32926	S121
66.918	0	33459	S 22
67.296	0	33648	S222
68.534	0	34267	S 22
68.888	0	34444	S122
70.15	0	35075	S 11
70.508	0	35254	S111
71.6	0	35800	S 12
71.92	0	35960	S212
73.084	0	36542	S 22
73.468	0	36734	S222
74.55	0	37275	S 11
74.888	0	37444	S111
76.1	0	38050	S 12
76.444	0	38222	S212
77.718	0	38859	S 12
78.048	0	39024	S212
79.3	0	39650	S 22
79.68	0	39840	S222
80.9	0	40450	S 12
81.256	0	40628	S212
82.518	0	41259	S 21
82.904	0	41452	S121
84.084	0	42042	S 11
84.396	0	42198	S111
85.6	0	42800	S 21
85.952	0	42976	S221
87.15	0	43575	S 12
87.48	0	43740	S212
88.65	0	44325	S 12
89.028	0	44514	S212
90.134	0	45067	S 11
90.5	0	45250	S111
91.7	0	45850	S 12
92.028	0	46014	S212
93.3	0	46650	S 12
93.62	0	46810	S212
94.834	0	47417	S 22
95.232	0	47616	S222
96.4	0	48200	S 21
96.792	0	48396	S121
97.918	0	48959	S 12
98.26	0	49130	S212
99.434	0	49717	S 11
99.748	0	49874	S111
101.084	0	50542	S 21
101.444	0	50722	S121
102.618	0	51309	S 22
102.996	0	51498	S222
104.218	0	52109	S 21
104.588	0	52294	S121
105.8	0	52900	S 22
106.044	0	53022	S222
107.384	0	53692	S 21
107.788	0	53894	S121
108.818	0	54409	S 21
109.196	0	54598	S221
118.952	0	59476	S221
120.076	0	60038	S221
124.5	0	62250	S 11
124.876	0	62438	S111
125.984	0	62992	S 11
126.268	0	63134	S111
127.534	0	63767	S 21
127.8	0	63900	S121
128.968	0	64484	S 22
129.344	0	64672	S222
130.45	0	65225	S 22
130.768	0	65384	S222
131.884	0	65942	S 21
132.232	0	66116	S221
133.484	0	66742	S 11
