onset	duration	sample	value
0	0	0	boundary
46.938	0	23469	S  2
51.416	0	25708	S 22
51.77	0	25885	S122
52.866	0	26433	S 22
53.298	0	26649	S222
54.384	0	27192	S 22
54.794	0	27397	S222
55.85	0	27925	S 12
56.178	0	28089	S212
57.434	0	28717	S 22
57.742	0	28871	S122
59	0	29500	S 21
59.406	0	29703	S121
60.516	0	30258	S 11
60.89	0	30445	S111
62.084	0	31042	S 11
62.426	0	31213	S111
63.584	0	31792	S 11
63.93	0	31965	S111
65.15	0	32575	S 12
65.482	0	32741	S212
78.686	0	39343	S212
80.918	0	40459	S212
85.434	0	42717	S 22
85.862	0	42931	S222
87	0	43500	S 21
87.442	0	43721	S121
88.634	0	44317	S 12
88.942	0	44471	S212
90.166	0	45083	S 22
90.634	0	45317	S222
91.75	0	45875	S 11
92.102	0	46051	S111
93.2	0	46600	S 22
93.578	0	46789	S222
94.7	0	47350	S 21
95.026	0	47513	S121
96.218	0	48109	S 22
96.682	0	48341	S222
97.734	0	48867	S 22
98.166	0	49083	S222
99.284	0	49642	S 11
99.582	0	49791	S111
100.868	0	50434	S 21
101.298	0	50649	S121
102.35	0	51175	S 21
102.762	0	51381	S121
103.95	0	51975	S 21
104.378	0	52189	S121
105.4	0	52700	S 21
105.694	0	52847	S221
106.868	0	53434	S 21
107.282	0	53641	S121
108.468	0	54234	S 12
108.706	0	54353	S212
110.068	0	55034	S 21
110.498	0	55249	S121
111.668	0	55834	S 11
112.018	0	56009	S111
113.168	0	56584	S 12
113.494	0	56747	S212
114.734	0	57367	S 22
115.122	0	57561	S222
116.218	0	58109	S 11
116.57	0	58285	S111
117.718	0	58859	S 12
118.134	0	59067	S212
119.234	0	59617	S 22
119.65	0	59825	S222
120.868	0	60434	S 21
121.27	0	60635	S121
122.434	0	61217	S 12
122.738	0	61369	S212
123.884	0	61942	S 12
124.214	0	62107	S212
125.518	0	62759	S 22
126.05	0	63025	S222
126.968	0	63484	S 11
127.302	0	63651	S111
128.5	0	64250	S 11
128.838	0	64419	S111
130.134	0	65067	S 11
130.558	0	65279	S111
131.784	0	65892	S 22
132.214	0	66107	S222
133.4	0	66700	S 12
133.698	0	66849	S212
134.95	0	67475	S 11
135.314	0	67657	S111
136.534	0	68267	S 12
136.826	0	68413	S212
138.034	0	69017	S 11
138.338	0	69169	S111
139.534	0	69767	S 11
139.87	0	69935	S111
141.1	0	70550	S 12
141.422	0	70711	S212
142.618	0	71309	S 22
143.034	0	71517	S222
144.084	0	72042	S 12
144.422	0	72211	S212
145.618	0	72809	S 21
146.014	0	73007	S121
162.426	0	81213	S221
167.09	0	83545	S221
171.568	0	85784	S 22
172.018	0	86009	S222
173	0	86500	S 12
173.326	0	86663	S212
174.468	0	87234	S 12
174.798	0	87399	S212
175.95	0	87975	S 12
176.25	0	88125	S212
177.4	0	88700	S 21
177.786	0	88893	S121
178.934	0	89467	S 12
179.214	0	89607	S212
180.45	0	90225	S 11
180.69	0	90345	S111
182.084	0	91042	S 22
182.422	0	91211	S122
183.568	0	91784	S 22
183.982	0	91991	S222
185.2	0	92600	S 21
185.578	0	92789	S121
186.8	0	93400	S 21
187.166	0	93583	S121
188.3	0	94150	S 21
188.582	0	94291	S221
189.85	0	94925	S 11
190.198	0	95099	S111
191.384	0	95692	S 12
191.694	0	95847	S212
192.934	0	96467	S 12
193.27	0	96635	S212
194.4	0	97200	S 21
194.778	0	97389	S121
195.9	0	97950	S 12
196.282	0	98141	S212
197.368	0	98684	S 22
197.63	0	98815	S122
198.834	0	99417	S 12
199.07	0	99535	S212
200.318	0	100159	S 21
200.63	0	100315	S221
201.9	0	100950	S 12
202.238	0	101119	S212
203.468	0	101734	S 21
203.826	0	101913	S121
205.084	0	102542	S 22
205.422	0	102711	S222
206.718	0	103359	S 11
207.014	0	103507	S111
208.268	0	104134	S 21
208.53	0	104265	S221
209.868	0	104934	S 11
210.158	0	105079	S111
211.434	0	105717	S 11
211.75	0	105875	S111
212.95	0	106475	S 11
213.302	0	106651	S111
214.568	0	107284	S 11
214.874	0	107437	S111
216.15	0	108075	S 11
216.43	0	108215	S111
217.7	0	108850	S 22
218.102	0	109051	S222
219.168	0	109584	S 22
219.59	0	109795	S222
220.684	0	110342	S 12
220.974	0	110487	S212
222.268	0	111134	S 22
222.59	0	111295	S122
223.734	0	111867	S 22
224.118	0	112059	S222
225.318	0	112659	S 21
225.706	0	112853	S121
226.8	0	113400	S 11
227.126	0	113563	S111
228.284	0	114142	S 11
228.606	0	114303	S111
229.934	0	114967	S 21
230.364	0	115182	S121
231.434	0	115717	S 22
231.852	0	115926	S222
241.172	0	120586	S222
243.554	0	121777	S222
247.984	0	123992	S 11
248.348	0	124174	S111
249.434	0	124717	S 11
249.792	0	124896	S111
250.968	0	125484	S 12
251.306	0	125653	S212
252.518	0	126259	S 22
252.808	0	126404	S122
254.002	0	127001	S 21
254.392	0	127196	S121
255.434	0	127717	S 12
255.76	0	127880	S212
256.984	0	128492	S 12
257.3	0	128650	S212
258.518	0	129259	S 21
258.924	0	129462	S121
260.052	0	130026	S 12
260.36	0	130180	S212
261.652	0	130826	S 11
