onset	duration	sample	value
0	0	0	boundary
23.11	0	11555	S202
27.998	0	13999	S202
32.47	0	16235	S 34
33.01	0	16505	S201
34.036	0	17018	S 35
34.374	0	17187	S201
35.536	0	17768	S 33
35.842	0	17921	S201
37.052	0	18526	S 31
37.35	0	18675	S201
38.67	0	19335	S 32
39.03	0	19515	S201
40.152	0	20076	S 33
40.482	0	20241	S201
41.702	0	20851	S 35
42.018	0	21009	S201
43.152	0	21576	S 31
43.558	0	21779	S201
44.67	0	22335	S 32
45.026	0	22513	S201
46.202	0	23101	S 34
46.534	0	23267	S201
49.07	0	24535	S202
50.718	0	25359	S202
55.086	0	27543	S 31
55.466	0	27733	S201
56.686	0	28343	S 32
56.986	0	28493	S201
58.236	0	29118	S 33
58.482	0	29241	S202
59.77	0	29885	S 35
60.026	0	30013	S201
61.27	0	30635	S 33
61.706	0	30853	S201
62.77	0	31385	S 33
63.066	0	31533	S201
64.22	0	32110	S 32
64.554	0	32277	S201
65.836	0	32918	S 33
66.242	0	33121	S201
67.32	0	33660	S 35
67.602	0	33801	S201
68.802	0	34401	S 33
69.074	0	34537	S201
70.32	0	35160	S 31
70.706	0	35353	S201
71.902	0	35951	S 34
72.286	0	36143	S201
73.436	0	36718	S 34
73.902	0	36951	S201
75.02	0	37510	S 32
75.358	0	37679	S201
76.652	0	38326	S 32
77.242	0	38621	S201
78.27	0	39135	S 31
78.81	0	39405	S201
79.902	0	39951	S 32
80.194	0	40097	S201
81.352	0	40676	S 31
81.682	0	40841	S201
82.836	0	41418	S 34
83.234	0	41617	S201
84.32	0	42160	S 32
84.57	0	42285	S201
85.852	0	42926	S 35
86.178	0	43089	S201
87.386	0	43693	S 33
87.814	0	43907	S201
88.886	0	44443	S 34
89.266	0	44633	S201
90.436	0	45218	S 31
90.79	0	45395	S201
92.052	0	46026	S 32
92.286	0	46143	S201
93.686	0	46843	S 31
93.966	0	46983	S201
95.202	0	47601	S 35
95.486	0	47743	S201
96.82	0	48410	S 34
97.274	0	48637	S202
98.42	0	49210	S 31
98.67	0	49335	S201
99.92	0	49960	S 33
100.39	0	50195	S202
101.42	0	50710	S 33
101.714	0	50857	S202
102.986	0	51493	S 31
103.442	0	51721	S201
104.57	0	52285	S 34
104.878	0	52439	S201
106.02	0	53010	S 35
106.346	0	53173	S201
107.486	0	53743	S 35
107.814	0	53907	S201
108.986	0	54493	S 34
109.314	0	54657	S201
110.602	0	55301	S 35
110.938	0	55469	S201
112.102	0	56051	S 32
112.386	0	56193	S201
113.686	0	56843	S 34
113.982	0	56991	S201
115.22	0	57610	S 35
115.514	0	57757	S201
118.706	0	59353	S202
120.654	0	60327	S202
125.07	0	62535	S 23
125.882	0	62941	S201
126.552	0	63276	S 22
126.954	0	63477	S201
128.002	0	64001	S 25
128.358	0	64179	S201
129.502	0	64751	S 21
129.914	0	64957	S201
131.02	0	65510	S 23
131.338	0	65669	S201
132.586	0	66293	S 24
132.918	0	66459	S201
134.202	0	67101	S 21
134.498	0	67249	S201
135.67	0	67835	S 22
136.094	0	68047	S201
137.286	0	68643	S 24
137.53	0	68765	S201
138.92	0	69460	S 22
139.322	0	69661	S201
140.37	0	70185	S 21
140.694	0	70347	S201
141.886	0	70943	S 21
142.21	0	71105	S201
143.52	0	71760	S 25
143.802	0	71901	S201
145.086	0	72543	S 24
145.462	0	72731	S201
146.652	0	73326	S 21
146.97	0	73485	S201
148.22	0	74110	S 24
148.59	0	74295	S201
149.752	0	74876	S 22
150.126	0	75063	S201
151.27	0	75635	S 24
151.582	0	75791	S201
152.852	0	76426	S 23
153.226	0	76613	S201
154.352	0	77176	S 22
154.778	0	77389	S201
155.836	0	77918	S 22
156.302	0	78151	S201
157.42	0	78710	S 25
157.758	0	78879	S201
159.036	0	79518	S 24
159.338	0	79669	S201
160.536	0	80268	S 23
160.802	0	80401	S201
162.136	0	81068	S 25
162.386	0	81193	S201
163.686	0	81843	S 22
163.998	0	81999	S202
165.236	0	82618	S 25
165.486	0	82743	S201
166.702	0	83351	S 25
167.134	0	83567	S201
168.152	0	84076	S 23
168.47	0	84235	S201
169.636	0	84818	S 23
169.95	0	84975	S201
171.22	0	85610	S 22
171.618	0	85809	S201
172.836	0	86418	S 21
173.19	0	86595	S201
174.336	0	87168	S 23
174.614	0	87307	S201
175.836	0	87918	S 25
176.134	0	88067	S201
177.454	0	88727	S 21
177.742	0	88871	S201
179.07	0	89535	S 24
179.774	0	89887	S201
180.554	0	90277	S 25
180.854	0	90427	S201
182.186	0	91093	S 24
182.522	0	91261	S201
183.736	0	91868	S 23
184.03	0	92015	S201
185.304	0	92652	S 21
185.614	0	92807	S201
201.826	0	100913	S202
204.518	0	102259	S202
209.004	0	104502	S 52
209.498	0	104749	S201
210.454	0	105227	S 51
210.766	0	105383	S201
