onset	duration	sample	value
0	0	0	boundary
15.56	0	7780	S180
16.168	0	8084	S180
16.784	0	8392	S180
17.376	0	8688	S180
18.022	0	9011	S180
18.682	0	9341	S180
19.302	0	9651	S180
19.896	0	9948	S180
20.528	0	10264	S180
21.156	0	10578	S180
21.794	0	10897	S180
22.434	0	11217	S180
23.034	0	11517	S180
23.668	0	11834	S180
24.29	0	12145	S180
24.88	0	12440	S 80
25.528	0	12764	S 80
26.166	0	13083	S 80
26.806	0	13403	S 70
27.444	0	13722	S 80
28.084	0	14042	S 80
28.72	0	14360	S 80
29.358	0	14679	S 80
29.996	0	14998	S 80
30.638	0	15319	S 80
31.278	0	15639	S 70
31.918	0	15959	S 80
32.558	0	16279	S 80
33.196	0	16598	S 80
33.832	0	16916	S 80
34.484	0	17242	S 80
35.132	0	17566	S 80
35.77	0	17885	S 80
36.418	0	18209	S 70
37.058	0	18529	S 80
37.696	0	18848	S 70
38.346	0	19173	S 80
38.984	0	19492	S 70
39.628	0	19814	S 80
40.268	0	20134	S 70
40.906	0	20453	S 80
41.548	0	20774	S 80
42.19	0	21095	S 80
42.828	0	21414	S 70
43.466	0	21733	S 80
44.11	0	22055	S 80
44.75	0	22375	S 80
45.4	0	22700	S 80
46.042	0	23021	S 80
46.68	0	23340	S 80
47.322	0	23661	S 80
47.97	0	23985	S 80
48.61	0	24305	S 80
49.258	0	24629	S 80
49.908	0	24954	S 70
50.548	0	25274	S 80
51.186	0	25593	S 80
51.828	0	25914	S 80
52.466	0	26233	S 80
53.104	0	26552	S 80
53.754	0	26877	S 80
54.394	0	27197	S 80
55.03	0	27515	S 80
55.672	0	27836	S 80
56.322	0	28161	S 80
56.972	0	28486	S 70
57.612	0	28806	S 80
58.252	0	29126	S 80
58.89	0	29445	S 80
59.53	0	29765	S 80
60.178	0	30089	S 80
60.828	0	30414	S 80
61.468	0	30734	S 80
62.104	0	31052	S 80
62.744	0	31372	S 80
63.382	0	31691	S 80
64.026	0	32013	S 70
64.674	0	32337	S 80
65.312	0	32656	S 80
65.96	0	32980	S 70
66.598	0	33299	S 80
67.238	0	33619	S 80
67.884	0	33942	S 80
68.534	0	34267	S 80
69.172	0	34586	S 70
69.812	0	34906	S 80
70.454	0	35227	S 80
71.102	0	35551	S 70
71.742	0	35871	S 80
72.378	0	36189	S 80
73.026	0	36513	S 80
73.666	0	36833	S 80
74.318	0	37159	S 80
74.968	0	37484	S 70
75.606	0	37803	S 80
76.244	0	38122	S 80
76.884	0	38442	S 80
77.52	0	38760	S 80
78.17	0	39085	S 70
78.812	0	39406	S 80
79.46	0	39730	S 80
80.108	0	40054	S 80
80.75	0	40375	S 70
81.388	0	40694	S 80
82.03	0	41015	S 80
82.678	0	41339	S 80
83.316	0	41658	S 70
83.954	0	41977	S 80
84.598	0	42299	S 70
85.238	0	42619	S 80
85.888	0	42944	S 80
86.528	0	43264	S 80
87.168	0	43584	S 80
87.818	0	43909	S 80
88.46	0	44230	S 70
89.098	0	44549	S 80
89.74	0	44870	S 80
