onset	duration	sample	value
0	0	0	boundary
27.972	0	13986	S  1
31.46	0	15730	S180
32.114	0	16057	S180
32.714	0	16357	S180
33.36	0	16680	S180
33.934	0	16967	S180
34.552	0	17276	S180
35.128	0	17564	S180
35.696	0	17848	S180
36.296	0	18148	S180
36.882	0	18441	S180
37.484	0	18742	S180
38.088	0	19044	S180
38.724	0	19362	S180
39.376	0	19688	S180
40.016	0	20008	S180
40.62	0	20310	S 80
41.284	0	20642	S 70
41.876	0	20938	S 80
42.52	0	21260	S 70
43.172	0	21586	S 80
43.744	0	21872	S 80
44.344	0	22172	S 70
44.964	0	22482	S 80
45.544	0	22772	S 70
46.126	0	23063	S 80
46.78	0	23390	S 70
47.408	0	23704	S 80
47.98	0	23990	S 80
48.638	0	24319	S 70
49.304	0	24652	S 80
49.934	0	24967	S 80
50.582	0	25291	S 80
51.182	0	25591	S 80
51.786	0	25893	S 80
52.41	0	26205	S 80
53.04	0	26520	S 70
53.7	0	26850	S 80
54.354	0	27177	S 80
54.992	0	27496	S 80
55.63	0	27815	S 80
56.248	0	28124	S 80
56.818	0	28409	S 80
57.404	0	28702	S 70
57.984	0	28992	S 80
58.634	0	29317	S 80
59.234	0	29617	S 80
59.85	0	29925	S 70
60.44	0	30220	S 80
61.092	0	30546	S 70
61.73	0	30865	S 80
62.396	0	31198	S 70
62.972	0	31486	S 80
63.648	0	31824	S 80
64.258	0	32129	S 70
64.902	0	32451	S 80
65.554	0	32777	S 70
66.212	0	33106	S 80
66.89	0	33445	S 80
67.49	0	33745	S 80
68.084	0	34042	S 80
68.664	0	34332	S 80
69.244	0	34622	S 80
69.89	0	34945	S 80
70.538	0	35269	S 80
71.116	0	35558	S 70
71.766	0	35883	S 80
72.328	0	36164	S 70
72.938	0	36469	S 80
73.534	0	36767	S 80
74.1	0	37050	S 80
74.688	0	37344	S 80
75.354	0	37677	S 80
76.012	0	38006	S 70
76.596	0	38298	S 80
77.236	0	38618	S 80
77.896	0	38948	S 80
78.478	0	39239	S 80
79.07	0	39535	S 80
79.66	0	39830	S 80
80.282	0	40141	S 80
80.938	0	40469	S 80
81.492	0	40746	S 80
82.156	0	41078	S 80
82.792	0	41396	S 70
83.47	0	41735	S 80
84.082	0	42041	S 80
84.642	0	42321	S 80
85.25	0	42625	S 80
85.87	0	42935	S 80
86.534	0	43267	S 80
87.128	0	43564	S 80
87.768	0	43884	S 70
88.374	0	44187	S 80
88.948	0	44474	S 80
89.562	0	44781	S 80
90.198	0	45099	S 80
90.822	0	45411	S 80
91.376	0	45688	S 80
91.966	0	45983	S 80
92.64	0	46320	S 70
93.254	0	46627	S 80
93.878	0	46939	S 80
94.488	0	47244	S 80
95.102	0	47551	S 80
95.69	0	47845	S 70
96.29	0	48145	S 80
96.866	0	48433	S 80
97.5	0	48750	S 80
98.142	0	49071	S 80
98.782	0	49391	S 70
99.41	0	49705	S 80
100.036	0	50018	S 70
100.7	0	50350	S 80
101.362	0	50681	S 80
102.058	0	51029	S 80
102.706	0	51353	S 80
103.314	0	51657	S 70
103.942	0	51971	S 80
104.53	0	52265	S 80
105.224	0	52612	S 80
105.858	0	52929	S 80
106.494	0	53247	S 80
107.12	0	53560	S 80
107.788	0	53894	S 70
108.456	0	54228	S 80
109.108	0	54554	S 70
109.734	0	54867	S 80
110.364	0	55182	S 80
110.988	0	55494	S 80
111.592	0	55796	S 80
112.174	0	56087	S 80
112.802	0	56401	S 80
113.442	0	56721	S 80
114.036	0	57018	S 80
114.608	0	57304	S 80
115.21	0	57605	S 80
115.87	0	57935	S 80
116.48	0	58240	S 80
117.084	0	58542	S 80
117.646	0	58823	S 80
118.248	0	59124	S 70
118.868	0	59434	S 80
119.436	0	59718	S 70
120.092	0	60046	S 80
120.742	0	60371	S 70
121.422	0	60711	S 80
121.996	0	60998	S 70
122.568	0	61284	S 80
123.228	0	61614	S 80
123.826	0	61913	S 70
124.452	0	62226	S 80
125.042	0	62521	S 80
125.674	0	62837	S 80
126.282	0	63141	S 80
126.874	0	63437	S 80
127.534	0	63767	S 70
128.134	0	64067	S 80
128.802	0	64401	S 80
129.394	0	64697	S 70
129.982	0	64991	S 80
130.584	0	65292	S 80
131.17	0	65585	S 80
131.784	0	65892	S 70
132.394	0	66197	S 80
133.036	0	66518	S 80
133.686	0	66843	S 70
134.324	0	67162	S 80
134.894	0	67447	S 70
135.442	0	67721	S 80
136.09	0	68045	S 80
136.674	0	68337	S 80
137.274	0	68637	S 70
137.86	0	68930	S 80
138.49	0	69245	S 80
139.124	0	69562	S 70
139.696	0	69848	S 80
140.278	0	70139	S 80
140.956	0	70478	S 80
141.584	0	70792	S 80
142.218	0	71109	S 80
142.766	0	71383	S 80
143.4	0	71700	S 80
144.038	0	72019	S 80
144.668	0	72334	S 70
145.288	0	72644	S 80
145.904	0	72952	S 70
146.514	0	73257	S 80
147.126	0	73563	S 80
147.738	0	73869	S 80
148.32	0	74160	S 70
148.968	0	74484	S 80
149.51	0	74755	S 80
150.1	0	75050	S 70
150.772	0	75386	S 80
151.45	0	75725	S 70
152.07	0	76035	S 80
152.724	0	76362	S 80
153.328	0	76664	S 80
153.958	0	76979	S 80
154.594	0	77297	S 70
155.19	0	77595	S 80
155.806	0	77903	S 70
