onset	duration	sample	value
0	0	0	boundary
21.49	0	10745	S  1
24.99	0	12495	S180
25.584	0	12792	S180
26.212	0	13106	S180
26.872	0	13436	S180
27.436	0	13718	S180
28.038	0	14019	S180
28.648	0	14324	S180
29.27	0	14635	S180
29.85	0	14925	S180
30.47	0	15235	S180
31.042	0	15521	S180
31.656	0	15828	S180
32.32	0	16160	S180
32.914	0	16457	S180
33.508	0	16754	S180
34.122	0	17061	S 80
34.732	0	17366	S 70
35.33	0	17665	S 80
35.932	0	17966	S 80
36.524	0	18262	S 70
37.182	0	18591	S 80
37.762	0	18881	S 70
38.406	0	19203	S 80
38.992	0	19496	S 70
39.598	0	19799	S 80
40.238	0	20119	S 80
40.834	0	20417	S 80
41.444	0	20722	S 80
42.094	0	21047	S 80
42.666	0	21333	S 70
43.302	0	21651	S 80
43.91	0	21955	S 80
44.486	0	22243	S 80
45.132	0	22566	S 80
45.754	0	22877	S 80
46.32	0	23160	S 80
46.948	0	23474	S 70
47.568	0	23784	S 80
48.15	0	24075	S 80
48.732	0	24366	S 80
49.324	0	24662	S 80
49.888	0	24944	S 80
50.512	0	25256	S 70
51.164	0	25582	S 80
51.812	0	25906	S 70
52.454	0	26227	S 80
53.084	0	26542	S 70
53.736	0	26868	S 80
54.374	0	27187	S 80
55	0	27500	S 80
55.57	0	27785	S 80
56.22	0	28110	S 70
56.88	0	28440	S 80
57.494	0	28747	S 80
58.124	0	29062	S 80
58.756	0	29378	S 70
59.356	0	29678	S 80
59.964	0	29982	S 80
60.538	0	30269	S 80
61.13	0	30565	S 80
61.76	0	30880	S 80
62.432	0	31216	S 80
63.114	0	31557	S 80
63.766	0	31883	S 80
64.384	0	32192	S 70
65	0	32500	S 80
65.574	0	32787	S 80
66.214	0	33107	S 80
66.778	0	33389	S 70
67.392	0	33696	S 80
68.046	0	34023	S 80
68.63	0	34315	S 80
69.27	0	34635	S 70
69.92	0	34960	S 80
70.476	0	35238	S 80
71.09	0	35545	S 70
71.664	0	35832	S 80
72.28	0	36140	S 80
72.876	0	36438	S 70
73.486	0	36743	S 80
74.148	0	37074	S 80
74.7	0	37350	S 80
75.332	0	37666	S 70
75.916	0	37958	S 80
76.566	0	38283	S 80
77.162	0	38581	S 80
77.74	0	38870	S 70
78.378	0	39189	S 80
79.002	0	39501	S 80
79.58	0	39790	S 70
80.158	0	40079	S 80
80.754	0	40377	S 70
81.326	0	40663	S 80
81.932	0	40966	S 70
82.552	0	41276	S 80
83.118	0	41559	S 80
83.742	0	41871	S 80
84.358	0	42179	S 80
85.012	0	42506	S 70
85.62	0	42810	S 80
86.222	0	43111	S 80
86.868	0	43434	S 70
87.534	0	43767	S 80
88.168	0	44084	S 80
88.784	0	44392	S 80
89.398	0	44699	S 80
89.974	0	44987	S 80
90.578	0	45289	S 70
91.136	0	45568	S 80
91.78	0	45890	S 70
92.364	0	46182	S 80
92.964	0	46482	S 70
93.524	0	46762	S 80
94.178	0	47089	S 80
94.824	0	47412	S 80
95.484	0	47742	S 70
96.134	0	48067	S 80
96.78	0	48390	S 70
97.474	0	48737	S 80
98.106	0	49053	S 80
98.772	0	49386	S 80
99.444	0	49722	S 80
100.128	0	50064	S 80
100.81	0	50405	S 70
101.386	0	50693	S 80
102.068	0	51034	S 70
102.72	0	51360	S 80
103.33	0	51665	S 80
104.016	0	52008	S 80
104.652	0	52326	S 80
105.27	0	52635	S 80
105.966	0	52983	S 80
106.542	0	53271	S 80
107.19	0	53595	S 70
107.772	0	53886	S 80
108.416	0	54208	S 80
109.042	0	54521	S 80
109.61	0	54805	S 80
110.212	0	55106	S 70
110.828	0	55414	S 80
111.418	0	55709	S 80
111.98	0	55990	S 80
112.52	0	56260	S 80
113.088	0	56544	S 80
113.642	0	56821	S 80
114.256	0	57128	S 70
114.84	0	57420	S 80
115.46	0	57730	S 80
116.048	0	58024	S 80
116.646	0	58323	S 80
117.314	0	58657	S 70
117.926	0	58963	S 80
118.534	0	59267	S 80
119.186	0	59593	S 80
119.848	0	59924	S 80
120.462	0	60231	S 80
121.078	0	60539	S 80
121.652	0	60826	S 70
122.2	0	61100	S 80
122.87	0	61435	S 80
123.47	0	61735	S 80
124.094	0	62047	S 80
124.728	0	62364	S 80
125.332	0	62666	S 80
125.994	0	62997	S 70
126.602	0	63301	S 80
127.168	0	63584	S 80
127.736	0	63868	S 80
128.398	0	64199	S 80
128.984	0	64492	S 80
129.594	0	64797	S 80
130.224	0	65112	S 80
130.898	0	65449	S 70
131.45	0	65725	S 80
132.1	0	66050	S 80
132.734	0	66367	S 80
133.342	0	66671	S 80
133.99	0	66995	S 70
134.584	0	67292	S 80
135.182	0	67591	S 80
135.772	0	67886	S 80
136.392	0	68196	S 70
137.046	0	68523	S 80
137.666	0	68833	S 80
138.308	0	69154	S 70
138.94	0	69470	S 80
139.582	0	69791	S 80
140.154	0	70077	S 80
140.748	0	70374	S 80
141.336	0	70668	S 80
141.992	0	70996	S 80
142.64	0	71320	S 80
143.244	0	71622	S 80
143.824	0	71912	S 80
144.436	0	72218	S 80
145.05	0	72525	S 80
145.672	0	72836	S 80
146.302	0	73151	S 80
146.966	0	73483	S 80
147.632	0	73816	S 80
148.27	0	74135	S 80
148.878	0	74439	S 70
149.502	0	74751	S 80
150.08	0	75040	S 80
150.686	0	75343	S 80
151.338	0	75669	S 80
151.978	0	75989	S 80
152.596	0	76298	S 80
153.224	0	76612	S 80
153.834	0	76917	S 80
154.392	0	77196	S 80
155.064	0	77532	S 80
155.64	0	77820	S 80
156.292	0	78146	S 80
156.864	0	78432	S 80
157.442	0	78721	S 70
158.052	0	79026	S 80
158.61	0	79305	S 80
159.252	0	79626	S 70
159.882	0	79941	S 80
160.53	0	80265	S 80
161.188	0	80594	S 80
161.814	0	80907	S 70
162.406	0	81203	S 80
163.006	0	81503	S 80
163.674	0	81837	S 80
164.34	0	82170	S 70
164.93	0	82465	S 80
165.536	0	82768	S 80
166.15	0	83075	S 80
166.798	0	83399	S 70
167.372	0	83686	S 80
168.032	0	84016	S 80
168.62	0	84310	S 80
169.226	0	84613	S 80
169.836	0	84918	S 70
170.494	0	85247	S 80
171.098	0	85549	S 80
171.688	0	85844	S 80
172.326	0	86163	S 80
172.916	0	86458	S 70
173.534	0	86767	S 80
174.124	0	87062	S 80
174.774	0	87387	S 80
175.448	0	87724	S 70
176.04	0	88020	S 80
176.59	0	88295	S 80
177.246	0	88623	S 80
177.842	0	88921	S 80
178.476	0	89238	S 80
179.072	0	89536	S 70
179.708	0	89854	S 80
180.27	0	90135	S 80
180.858	0	90429	S 70
181.48	0	90740	S 80
182.088	0	91044	S 80
182.684	0	91342	S 80
183.306	0	91653	S 80
183.964	0	91982	S 80
184.576	0	92288	S 70
185.206	0	92603	S 80
185.79	0	92895	S 80
186.41	0	93205	S 80
187.042	0	93521	S 70
187.61	0	93805	S 80
188.18	0	94090	S 70
188.76	0	94380	S 80
189.336	0	94668	S 80
189.928	0	94964	S 80
190.492	0	95246	S 80
191.108	0	95554	S 80
191.714	0	95857	S 80
192.286	0	96143	S 80
192.884	0	96442	S 80
193.492	0	96746	S 70
194.148	0	97074	S 80
194.818	0	97409	S 80
195.456	0	97728	S 80
196.116	0	98058	S 70
196.738	0	98369	S 80
197.374	0	98687	S 80
